img_path,img_gt_class_labels,img_gt_bbox_coords
VOCdevkit/VOC2012/JPEGImages/2010_003156.jpg,"[5, 5, 8]","[[343.0, 198.0, 360.0, 231.0], [425.0, 193.0, 447.0, 234.0], [342.0, 217.0, 419.0, 233.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_002397.jpg,[8],"[[145.0, 114.0, 434.0, 280.0]]"
VOCdevkit/VOC2012/JPEGImages/2007_009947.jpg,"[8, 5]","[[115.0, 92.0, 250.0, 321.0], [165.0, 288.0, 186.0, 312.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_003017.jpg,[5],"[[93.0, 28.0, 500.0, 400.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_005523.jpg,[5],"[[95.0, 231.0, 151.0, 363.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001951.jpg,"[12, 12, 12]","[[107.0, 4.0, 387.0, 332.0], [334.0, 156.0, 500.0, 313.0], [1.0, 143.0, 176.0, 317.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001876.jpg,[13],"[[151.0, 107.0, 499.0, 333.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_005899.jpg,[18],"[[1.0, 67.0, 500.0, 320.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_007861.jpg,"[2, 5]","[[99.0, 164.0, 240.0, 363.0], [94.0, 127.0, 229.0, 297.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_002487.jpg,[5],"[[24.0, 119.0, 265.0, 297.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004697.jpg,[5],"[[276.0, 197.0, 375.0, 500.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003653.jpg,[5],"[[17.0, 90.0, 173.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000286.jpg,[6],"[[138.0, 54.0, 445.0, 289.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003913.jpg,[6],"[[27.0, 83.0, 461.0, 312.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_002997.jpg,[5],"[[166.0, 108.0, 339.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004228.jpg,[5],"[[113.0, 21.0, 373.0, 341.0]]"
VOCdevkit/VOC2012/JPEGImages/2007_003682.jpg,"[0, 0]","[[344.0, 144.0, 406.0, 198.0], [34.0, 151.0, 167.0, 245.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_004276.jpg,"[5, 5, 5, 5, 5, 5, 17]","[[1.0, 194.0, 53.0, 375.0], [29.0, 219.0, 64.0, 360.0], [166.0, 224.0, 227.0, 344.0], [314.0, 215.0, 359.0, 350.0], [267.0, 203.0, 323.0, 344.0], [447.0, 193.0, 490.0, 262.0], [1.0, 1.0, 447.0, 310.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_002020.jpg,[6],"[[1.0, 26.0, 346.0, 500.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001213.jpg,"[2, 5]","[[68.0, 73.0, 310.0, 218.0], [107.0, 1.0, 226.0, 188.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_007090.jpg,[5],"[[147.0, 99.0, 288.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_005680.jpg,"[9, 9, 9, 9]","[[1.0, 186.0, 60.0, 318.0], [62.0, 183.0, 157.0, 318.0], [138.0, 156.0, 250.0, 318.0], [352.0, 13.0, 445.0, 88.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_000051.jpg,"[5, 5, 5]","[[348.0, 90.0, 500.0, 375.0], [232.0, 160.0, 355.0, 375.0], [8.0, 86.0, 136.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004057.jpg,[5],"[[119.0, 135.0, 208.0, 324.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_005078.jpg,"[13, 5]","[[121.0, 125.0, 368.0, 264.0], [185.0, 99.0, 336.0, 194.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_005168.jpg,"[7, 7, 5, 17, 5]","[[483.0, 160.0, 500.0, 186.0], [359.0, 154.0, 404.0, 181.0], [332.0, 155.0, 347.0, 188.0], [111.0, 103.0, 313.0, 195.0], [34.0, 139.0, 54.0, 197.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_003170.jpg,[11],"[[192.0, 282.0, 399.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_002616.jpg,[6],"[[87.0, 12.0, 337.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_002248.jpg,[6],"[[1.0, 1.0, 500.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003716.jpg,[5],"[[38.0, 6.0, 203.0, 227.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_003859.jpg,"[6, 5, 5]","[[207.0, 201.0, 321.0, 240.0], [282.0, 55.0, 339.0, 238.0], [114.0, 137.0, 207.0, 237.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_002299.jpg,"[18, 5]","[[7.0, 23.0, 294.0, 375.0], [34.0, 1.0, 500.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_006699.jpg,[5],"[[147.0, 50.0, 229.0, 457.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_006184.jpg,[5],"[[38.0, 22.0, 195.0, 384.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_007236.jpg,[6],"[[141.0, 1.0, 392.0, 317.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_004870.jpg,"[5, 5, 5, 5]","[[250.0, 188.0, 275.0, 236.0], [262.0, 191.0, 287.0, 238.0], [177.0, 188.0, 190.0, 222.0], [182.0, 187.0, 201.0, 222.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_006243.jpg,"[5, 5]","[[259.0, 177.0, 300.0, 264.0], [120.0, 180.0, 171.0, 278.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_004962.jpg,"[17, 7, 5, 5, 5, 5]","[[57.0, 79.0, 468.0, 294.0], [29.0, 168.0, 58.0, 201.0], [82.0, 156.0, 96.0, 174.0], [150.0, 156.0, 162.0, 173.0], [195.0, 155.0, 207.0, 171.0], [309.0, 126.0, 343.0, 173.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_001691.jpg,"[5, 5]","[[49.0, 62.0, 189.0, 301.0], [252.0, 84.0, 412.0, 305.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003083.jpg,[16],"[[1.0, 66.0, 335.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_002208.jpg,"[15, 11, 11, 11, 11]","[[128.0, 159.0, 500.0, 306.0], [283.0, 184.0, 389.0, 339.0], [18.0, 174.0, 136.0, 315.0], [106.0, 163.0, 183.0, 283.0], [141.0, 201.0, 253.0, 329.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_000320.jpg,"[0, 5]","[[198.0, 77.0, 292.0, 280.0], [1.0, 1.0, 319.0, 448.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003852.jpg,[10],"[[207.0, 70.0, 381.0, 217.0]]"
